Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Credit Losses Provision,MS,"-532,000","-280,000","-4,000","-761,000"
Non Interest Expense,MS,"37,141,000","35,841,000","36,742,000","30,418,000"
Occupancy And Equipment,MS,"1,895,000","1,729,000","1,725,000","1,559,000"
Professional Expense And Contract Services Expense,MS,"3,058,000","3,070,000","2,933,000","2,205,000"
Selling General and Administrative,MS,"25,103,000","23,958,000","25,271,000","21,137,000"
General & Administrative Expense,MS,"24,205,000","23,053,000","24,628,000","20,703,000"
Salaries and Wages,MS,"24,205,000","23,053,000","24,628,000","20,703,000"
Other G and A,MS,-,-,-,"2,465,000"
Selling & Marketing Expense,MS,"898,000","905,000","643,000","434,000"
Other Non Interest Expense,MS,"7,085,000","7,084,000","6,813,000","5,517,000"
Special Income Charges,MS,"-1,181,000","-470,000","-456,000","-231,000"
Restructuring & Mergers Acquisition,MS,"646,000","470,000","456,000","231,000"
Other Special Charges,MS,"535,000",-,-,-
Pretax Income,MS,"11,813,000","14,089,000","19,668,000","14,418,000"
Tax Provision,MS,"2,583,000","2,910,000","4,548,000","3,239,000"
Net Income Common Stockholders,MS,"8,530,000","10,540,000","14,566,000","10,500,000"
Net Income,MS,"9,087,000","11,029,000","15,034,000","10,996,000"
Net Income Including Non-Controlling Interests,MS,"9,230,000","11,179,000","15,120,000","11,179,000"
Net Income Continuous Operations,MS,"9,230,000","11,179,000","15,120,000","11,179,000"
Net Income Discontinuous Operations,MS,-,-,-,0
Minority Interests,MS,"-143,000","-150,000","-86,000","-183,000"
Preferred Stock Dividends,MS,"557,000","489,000","468,000","496,000"
Diluted NI Available to Com Stockholders,MS,"8,530,000","10,540,000","14,566,000","10,500,000"
Basic EPS,MS,5.24,6.23,8.16,6.55
Diluted EPS,MS,5.18,6.15,8.03,6.46
Basic Average Shares,MS,"1,628,000","1,691,000","1,785,000","1,603,000"
Diluted Average Shares,MS,"1,646,000","1,713,000","1,814,000","1,624,000"
Interest Income after Provision for Loan Loss,MS,"7,698,000","9,047,000","8,041,000","5,552,000"
Net Income from Continuing & Discontinued Operation,MS,"9,087,000","11,029,000","15,034,000","10,996,000"
Normalized Income,MS,"10,009,766","11,029,000","15,034,000","11,175,025"
Total Money Market Investments,MS,"12,953,000","3,208,000","-1,198,000","-194,000"
Reconciled Depreciation,MS,"4,256,000","3,998,000","4,216,000","3,769,000"
Net Income from Continuing Operation Net Minority Interest,MS,"9,087,000","11,029,000","15,034,000","10,996,000"
Total Unusual Items Excluding Goodwill,MS,"-1,181,000","-470,000","-456,000","-231,000"
Total Unusual Items,MS,"-1,181,000","-470,000","-456,000","-231,000"
Tax Rate for Calcs,MS,0,0,0,0
Tax Effect of Unusual Items,MS,"-258,234",0,0,"-51,975"
Total Revenue,RY,"56,256,000","48,775,000","49,537,000","47,104,000"
Net Interest Income,RY,"25,129,000","22,717,000","20,002,000","20,835,000"
Interest Income,RY,"86,991,000","40,771,000","28,145,000","34,883,000"
Interest Income from Loans And Lease,RY,"43,463,000","26,565,000","21,654,000","23,420,000"
Interest Income from Loans,RY,"43,463,000","26,565,000","21,654,000","23,420,000"
Interest Income from Securities,RY,"14,512,000","7,062,000","4,877,000","6,488,000"
Interest Income from Deposits,RY,"6,852,000","1,697,000","305,000","307,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,RY,"22,164,000","5,447,000","1,309,000","4,668,000"
Interest Expense,RY,"61,862,000","18,054,000","8,143,000","14,048,000"
Interest Expense for Deposit,RY,"36,679,000","10,751,000","5,448,000","8,783,000"
Interest Expense for Long Term Debt And Capital Securities,RY,"666,000","288,000","179,000","280,000"
Other Interest Expense,RY,"24,517,000","7,015,000","2,516,000","4,985,000"
Non Interest Income,RY,"31,127,000","26,058,000","29,535,000","26,269,000"
Total Premiums Earned,RY,"5,675,000","3,510,000","5,600,000","5,361,000"
Fees And Commissions,RY,"18,698,000","18,071,000","17,387,000","15,384,000"
Fees & Commission Income,RY,"18,698,000","18,071,000","17,387,000","15,384,000"
Service Charge on Depositor Accounts,RY,"3,588,000","3,488,000","3,388,000","3,163,000"
Trust Fees by Commissions,RY,"12,407,000","11,899,000","11,383,000","9,813,000"
Securities Activities,RY,"1,463,000","1,481,000","1,538,000","1,439,000"
Credit Card,RY,"1,240,000","1,203,000","1,078,000","969,000"
Other Customer Services,RY,-,-,-,"1,321,000"
Investment Banking Profit,RY,"2,005,000","2,058,000","2,692,000","2,319,000"
Trading Gain Loss,RY,"2,392,000","926,000","1,183,000","1,239,000"
Foreign Exchange Trading Gains,RY,"1,292,000","1,038,000","1,066,000","1,012,000"
Gain Losson Saleof Assets,RY,"193,000","43,000","145,000","90,000"
Gain on Sale of Security,RY,"193,000","43,000","145,000","90,000"
Other Non Interest Income,RY,"872,000","412,000","1,462,000","864,000"
Credit Losses Provision,RY,"-2,468,000","-484,000","753,000","-4,351,000"
Non Interest Expense,RY,"34,709,000","28,374,000","29,786,000","28,391,000"
Occupancy And Equipment,RY,"4,015,000","3,653,000","3,570,000","3,567,000"
Net Occupancy Expense,RY,"1,634,000","1,554,000","1,584,000","1,660,000"
Equipment,RY,"2,381,000","2,099,000","1,986,000","1,907,000"
Professional Expense And Contract Services Expense,RY,"2,223,000","1,511,000","1,351,000","1,330,000"
Selling General and Administrative,RY,"22,993,000","18,311,000","20,430,000","18,935,000"
General & Administrative Expense,RY,"22,993,000","18,311,000","20,430,000","18,935,000"
Salaries and Wages,RY,"18,971,000","16,528,000","16,539,000","15,252,000"
Insurance & Claims,RY,"4,022,000","1,783,000","3,891,000","3,683,000"
Other G and A,RY,-,-,-,"989,000"
Depreciation Amortization Depletion,RY,"1,487,000","1,369,000","1,287,000","1,273,000"
Depreciation & amortization,RY,"1,487,000","1,369,000","1,287,000","1,273,000"
Amortization,RY,"1,487,000","1,369,000","1,287,000","1,273,000"
Amortization of Intangibles,RY,"1,487,000","1,369,000","1,287,000","1,273,000"
Other Non Interest Expense,RY,"3,991,000","3,530,000","3,148,000","3,286,000"
Income from Associates & Other Participating Interests,RY,"-219,000","110,000","130,000","77,000"
Special Income Charges,RY,"-394,000","82,000","-3,000","-50,000"
Gain on Sale of Business,RY,"92,000","100,000","26,000","-8,000"
Restructuring & Mergers Acquisition,RY,"380,000",0,-,-
Impairment of Capital Assets,RY,"106,000","18,000","29,000","42,000"
Pretax Income,RY,"18,466,000","20,109,000","20,631,000","14,389,000"
Tax Provision,RY,"3,600,000","4,302,000","4,581,000","2,952,000"
Net Income Common Stockholders,RY,"14,623,000","15,547,000","15,781,000","11,164,000"
Net Income,RY,"14,859,000","15,794,000","16,038,000","11,432,000"
Net Income Including Non-Controlling Interests,RY,"14,866,000","15,807,000","16,050,000","11,437,000"
