breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Fees & Commission Expense",MS,3476000.0,3458000.0,3341000.0,2929000.0
"Investment Banking Profit",MS,4948000.0,5599000.0,10994000.0,7674000.0
"Trading Gain Loss",MS,14209000.0,12343000.0,11802000.0,13081000.0
"Foreign Exchange Trading Gains",MS,1054000.0,1585000.0,1008000.0,902000.0
"Gain Losson Saleof Assets",MS,573000.0,15000.0,1376000.0,986000.0
"Gain on Sale of Security",MS,573000.0,15000.0,1376000.0,986000.0
"Other Non Interest Income",MS,975000.0,283000.0,1042000.0,678000.0
"Credit Losses Provision",MS,-532000.0,-280000.0,-4000.0,-761000.0
"Non Interest Expense",MS,37141000.0,35841000.0,36742000.0,30418000.0
"Occupancy And Equipment",MS,1895000.0,1729000.0,1725000.0,1559000.0
"Professional Expense And Contract Services Expense",MS,3058000.0,3070000.0,2933000.0,2205000.0
"Selling General and Administrative",MS,25103000.0,23958000.0,25271000.0,21137000.0
"General & Administrative Expense",MS,24205000.0,23053000.0,24628000.0,20703000.0
"Salaries and Wages",MS,24205000.0,23053000.0,24628000.0,20703000.0
"Other G and A",MS,78340455.8522935,59370784.164795734,51505248.92342425,2465000.0
"Selling & Marketing Expense",MS,898000.0,905000.0,643000.0,434000.0
"Other Non Interest Expense",MS,7085000.0,7084000.0,6813000.0,5517000.0
"Special Income Charges",MS,-1181000.0,-470000.0,-456000.0,-231000.0
"Restructuring & Mergers Acquisition",MS,646000.0,470000.0,456000.0,231000.0
"Other Special Charges",MS,535000.0,59370784.164795734,51505248.92342425,52745342.82654964
"Pretax Income",MS,11813000.0,14089000.0,19668000.0,14418000.0
"Tax Provision",MS,2583000.0,2910000.0,4548000.0,3239000.0
"Net Income Common Stockholders",MS,8530000.0,10540000.0,14566000.0,10500000.0
"Net Income",MS,9087000.0,11029000.0,15034000.0,10996000.0
"Net Income Including Non-Controlling Interests",MS,9230000.0,11179000.0,15120000.0,11179000.0
"Net Income Continuous Operations",MS,9230000.0,11179000.0,15120000.0,11179000.0
"Net Income Discontinuous Operations",MS,78340455.8522935,59370784.164795734,51505248.92342425,0.0
"Minority Interests",MS,-143000.0,-150000.0,-86000.0,-183000.0
"Preferred Stock Dividends",MS,557000.0,489000.0,468000.0,496000.0
"Diluted NI Available to Com Stockholders",MS,8530000.0,10540000.0,14566000.0,10500000.0
"Basic EPS",MS,5.24,6.23,8.16,6.55
"Diluted EPS",MS,5.18,6.15,8.03,6.46
"Basic Average Shares",MS,1628000.0,1691000.0,1785000.0,1603000.0
"Diluted Average Shares",MS,1646000.0,1713000.0,1814000.0,1624000.0
"Interest Income after Provision for Loan Loss",MS,7698000.0,9047000.0,8041000.0,5552000.0
"Net Income from Continuing & Discontinued Operation",MS,9087000.0,11029000.0,15034000.0,10996000.0
"Normalized Income",MS,10009766.0,11029000.0,15034000.0,11175025.0
"Total Money Market Investments",MS,12953000.0,3208000.0,-1198000.0,-194000.0
"Reconciled Depreciation",MS,4256000.0,3998000.0,4216000.0,3769000.0
"Net Income from Continuing Operation Net Minority Interest",MS,9087000.0,11029000.0,15034000.0,10996000.0
"Total Unusual Items Excluding Goodwill",MS,-1181000.0,-470000.0,-456000.0,-231000.0
"Total Unusual Items",MS,-1181000.0,-470000.0,-456000.0,-231000.0
"Tax Rate for Calcs",MS,0.0,0.0,0.0,0.0
"Tax Effect of Unusual Items",MS,-258234.0,0.0,0.0,-51975.0
"Total Revenue",RY,56256000.0,48775000.0,49537000.0,47104000.0
"Net Interest Income",RY,25129000.0,22717000.0,20002000.0,20835000.0
"Interest Income",RY,86991000.0,40771000.0,28145000.0,34883000.0
"Interest Income from Loans And Lease",RY,43463000.0,26565000.0,21654000.0,23420000.0
"Interest Income from Loans",RY,43463000.0,26565000.0,21654000.0,23420000.0
"Interest Income from Securities",RY,14512000.0,7062000.0,4877000.0,6488000.0
"Interest Income from Deposits",RY,6852000.0,1697000.0,305000.0,307000.0
"Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell",RY,22164000.0,5447000.0,1309000.0,4668000.0
"Interest Expense",RY,61862000.0,18054000.0,8143000.0,14048000.0
"Interest Expense for Deposit",RY,36679000.0,10751000.0,5448000.0,8783000.0
"Interest Expense for Long Term Debt And Capital Securities",RY,666000.0,288000.0,179000.0,280000.0
"Other Interest Expense",RY,24517000.0,7015000.0,2516000.0,4985000.0
"Non Interest Income",RY,31127000.0,26058000.0,29535000.0,26269000.0
"Total Premiums Earned",RY,5675000.0,3510000.0,5600000.0,5361000.0
"Fees And Commissions",RY,18698000.0,18071000.0,17387000.0,15384000.0
"Fees & Commission Income",RY,18698000.0,18071000.0,17387000.0,15384000.0
"Service Charge on Depositor Accounts",RY,3588000.0,3488000.0,3388000.0,3163000.0
"Trust Fees by Commissions",RY,12407000.0,11899000.0,11383000.0,9813000.0
"Securities Activities",RY,1463000.0,1481000.0,1538000.0,1439000.0
"Credit Card",RY,1240000.0,1203000.0,1078000.0,969000.0
"Other Customer Services",RY,78340455.8522935,59370784.164795734,51505248.92342425,1321000.0
"Investment Banking Profit",RY,2005000.0,2058000.0,2692000.0,2319000.0
"Trading Gain Loss",RY,2392000.0,926000.0,1183000.0,1239000.0
"Foreign Exchange Trading Gains",RY,1292000.0,1038000.0,1066000.0,1012000.0
"Gain Losson Saleof Assets",RY,193000.0,43000.0,145000.0,90000.0
"Gain on Sale of Security",RY,193000.0,43000.0,145000.0,90000.0
"Other Non Interest Income",RY,872000.0,412000.0,1462000.0,864000.0
"Credit Losses Provision",RY,-2468000.0,-484000.0,753000.0,-4351000.0
"Non Interest Expense",RY,34709000.0,28374000.0,29786000.0,28391000.0
"Occupancy And Equipment",RY,4015000.0,3653000.0,3570000.0,3567000.0
"Net Occupancy Expense",RY,1634000.0,1554000.0,1584000.0,1660000.0
Equipment,RY,2381000.0,2099000.0,1986000.0,1907000.0
"Professional Expense And Contract Services Expense",RY,2223000.0,1511000.0,1351000.0,1330000.0
"Selling General and Administrative",RY,22993000.0,18311000.0,20430000.0,18935000.0
"General & Administrative Expense",RY,22993000.0,18311000.0,20430000.0,18935000.0
"Salaries and Wages",RY,18971000.0,16528000.0,16539000.0,15252000.0
"Insurance & Claims",RY,4022000.0,1783000.0,3891000.0,3683000.0
"Other G and A",RY,78340455.8522935,59370784.164795734,51505248.92342425,989000.0
"Depreciation Amortization Depletion",RY,1487000.0,1369000.0,1287000.0,1273000.0
"Depreciation & amortization",RY,1487000.0,1369000.0,1287000.0,1273000.0
Amortization,RY,1487000.0,1369000.0,1287000.0,1273000.0
"Amortization of Intangibles",RY,1487000.0,1369000.0,1287000.0,1273000.0
"Other Non Interest Expense",RY,3991000.0,3530000.0,3148000.0,3286000.0
"Income from Associates & Other Participating Interests",RY,-219000.0,110000.0,130000.0,77000.0
"Special Income Charges",RY,-394000.0,82000.0,-3000.0,-50000.0
"Gain on Sale of Business",RY,92000.0,100000.0,26000.0,-8000.0
"Restructuring & Mergers Acquisition",RY,380000.0,0.0,51505248.92342425,52745342.82654964
"Impairment of Capital Assets",RY,106000.0,18000.0,29000.0,42000.0
"Pretax Income",RY,18466000.0,20109000.0,20631000.0,14389000.0
"Tax Provision",RY,3600000.0,4302000.0,4581000.0,2952000.0
"Net Income Common Stockholders",RY,14623000.0,15547000.0,15781000.0,11164000.0
"Net Income",RY,14859000.0,15794000.0,16038000.0,11432000.0
"Net Income Including Non-Controlling Interests",RY,14866000.0,15807000.0,16050000.0,11437000.0
"Net Income Continuous Operations",RY,14866000.0,15807000.0,16050000.0,11437000.0
"Minority Interests",RY,-7000.0,-13000.0,-12000.0,-5000.0
"Preferred Stock Dividends",RY,236000.0,247000.0,257000.0,268000.0
"Average Dilution Earnings",RY,78340455.8522935,59370784.164795734,0.0,13000.0
"Diluted NI Available to Com Stockholders",RY,14623000.0,15547000.0,15781000.0,11177000.0
"Basic EPS",RY,10.51,11.08,11.08,7.84
"Diluted EPS",RY,10.5,11.06,11.06,7.82
"Basic Average Shares",RY,1391020.0,1403654.0,1424343.0,1423915.0
"Diluted Average Shares",RY,1392529.0,1406034.0,1426735.0,1428770.0
"Interest Income after Provision for Loan Loss",RY,22661000.0,22233000.0,20755000.0,16484000.0
