breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Cash Flow from Continuing Financing Activities",MS,-2726000.0,22714000.0,41547000.0,83784000.0
"Net Issuance Payments of Debt",MS,13619000.0,37562000.0,20149000.0,10242000.0
"Net Long Term Debt Issuance",MS,13619000.0,37562000.0,20149000.0,10242000.0
"Long Term Debt Issuance",MS,78424000.0,72460000.0,90273000.0,60726000.0
"Long Term Debt Payments",MS,-64805000.0,-34898000.0,-70124000.0,-50484000.0
"Net Common Stock Issuance",MS,-6178000.0,-10871000.0,-12075000.0,-1890000.0
"Common Stock Payments",MS,-6178000.0,-10871000.0,-12075000.0,-1890000.0
"Net Preferred Stock Issuance",MS,0.0,994000.0,1275000.0,0.0
"Preferred Stock Issuance",MS,0.0,994000.0,1275000.0,0.0
"Cash Dividends Paid",MS,-5763000.0,-5401000.0,-4171000.0,-2739000.0
"Net Other Financing Charges",MS,671000.0,-1229000.0,-528000.0,2754000.0
"End Cash Position",MS,89232000.0,128127000.0,127725000.0,105654000.0
"Changes in Cash",MS,-39346000.0,4685000.0,25621000.0,20655000.0
"Effect of Exchange Rate Changes",MS,451000.0,-4283000.0,-3550000.0,2828000.0
"Beginning Cash Position",MS,128127000.0,127725000.0,105654000.0,82171000.0
"Income Tax Paid Supplemental Data",MS,2035000.0,4147000.0,4231000.0,2591000.0
"Interest Paid Supplemental Data",MS,41940000.0,9819000.0,1303000.0,4120000.0
"Capital Expenditure",MS,-3412000.0,-3078000.0,-2308000.0,-1444000.0
"Issuance of Capital Stock",MS,0.0,994000.0,1275000.0,0.0
"Issuance of Debt",MS,78424000.0,72460000.0,90273000.0,60726000.0
"Repayment of Debt",MS,-64805000.0,-34898000.0,-70124000.0,-50484000.0
"Repurchase of Capital Stock",MS,-6178000.0,-10871000.0,-12075000.0,-1890000.0
"Free Cash Flow",MS,-36948000.0,-9475000.0,31663000.0,-26675000.0
"Operating Cash Flow",RY,26079000.0,21942000.0,61044000.0,138819000.0
"Cash Flow from Continuing Operating Activities",RY,26079000.0,21942000.0,61044000.0,138819000.0
"Net Income from Continuing Operations",RY,14866000.0,15807000.0,16050000.0,11437000.0
"Operating Gains Losses",RY,-64000.0,-251000.0,-304000.0,-283000.0
"Gain Loss On Sale of Business",RY,-92000.0,-100000.0,-26000.0,8000.0
"Gain Loss On Investment Securities",RY,-193000.0,-43000.0,-151000.0,-218000.0
"Earnings Losses from Equity Investments",RY,221000.0,-108000.0,-127000.0,-73000.0
"Depreciation Amortization Depletion",RY,2870000.0,2652000.0,2592000.0,2648000.0
"Depreciation & amortization",RY,2870000.0,2652000.0,2592000.0,2648000.0
Depreciation,RY,1275000.0,1265000.0,1276000.0,1333000.0
Amortization,RY,1595000.0,1387000.0,1316000.0,1315000.0
"Amortization of Intangibles",RY,1595000.0,1387000.0,1316000.0,1315000.0
"Deferred Tax",RY,-995000.0,569000.0,581000.0,-586000.0
"Deferred Income Tax",RY,-995000.0,569000.0,581000.0,-586000.0
"Provision for Loan Lease And Other Losses",RY,2468000.0,484000.0,-753000.0,4351000.0
"Change in working capital",RY,6934000.0,2681000.0,42878000.0,121252000.0
"Change in Loans",RY,4257000.0,-100849000.0,-61905000.0,-4048000.0
"Change in Other Current Liabilities",RY,12714959.061014263,214641227.3611557,125287530.36793894,814000.0
"Change in Other Working Capital",RY,2677000.0,103530000.0,104783000.0,125300000.0
"Investing Cash Flow",RY,-28265000.0,-57054000.0,-57348000.0,-39557000.0
"Cash Flow from Continuing Investing Activities",RY,-28265000.0,-57054000.0,-57348000.0,-39557000.0
"Capital Expenditure Reported",RY,12714959.061014263,214641227.3611557,125287530.36793894,-2629000.0
"Proceeds Payment in Interest Bearing Deposits in Bank",RY,18743000.0,-28373000.0,-40618000.0,-676000.0
"Net Investment Purchase And Sale",RY,-45990000.0,-23821000.0,-14622000.0,-36230000.0
"Purchase of Investment",RY,-202456000.0,-122964000.0,-123547000.0,-149516000.0
"Sale of Investment",RY,156466000.0,99143000.0,108925000.0,113286000.0
"Net PPE Purchase And Sale",RY,-2730000.0,-2500000.0,-2186000.0,-2629000.0
"Purchase of PPE",RY,-2730000.0,-2500000.0,-2186000.0,-2629000.0
"Net Business Purchase And Sale",RY,1712000.0,-2360000.0,78000.0,-22000.0
"Purchase of Business",RY,0.0,-2360000.0,0.0,-22000.0
"Sale of Business",RY,1712000.0,214641227.3611557,78000.0,0.0
"Financing Cash Flow",RY,-9833000.0,-2185000.0,-5928000.0,-7746000.0
"Cash Flow from Continuing Financing Activities",RY,-9833000.0,-2185000.0,-5928000.0,-7746000.0
"Net Issuance Payments of Debt",RY,-4427000.0,9788000.0,-385000.0,-825000.0
"Net Long Term Debt Issuance",RY,675000.0,179000.0,-371000.0,-838000.0
"Long Term Debt Issuance",RY,1500000.0,1000000.0,2750000.0,2750000.0
"Long Term Debt Payments",RY,-825000.0,-821000.0,-3121000.0,-3588000.0
"Net Short Term Debt Issuance",RY,-5102000.0,9609000.0,-14000.0,13000.0
"Net Common Stock Issuance",RY,164000.0,-5602000.0,110000.0,-819000.0
"Common Stock Issuance",RY,4239000.0,5525000.0,4853000.0,4848000.0
"Common Stock Payments",RY,-4075000.0,-11127000.0,-4743000.0,-5667000.0
"Net Preferred Stock Issuance",RY,0.0,594000.0,770000.0,237000.0
"Preferred Stock Issuance",RY,0.0,749000.0,2245000.0,1745000.0
"Preferred Stock Payments",RY,0.0,-155000.0,-1475000.0,-1508000.0
"Cash Dividends Paid",RY,-5549000.0,-6960000.0,-6420000.0,-6333000.0
"Net Other Financing Charges",RY,-21000.0,-5000.0,-3000.0,-6000.0
"End Cash Position",RY,61989000.0,72397000.0,113846000.0,118888000.0
"Changes in Cash",RY,-12019000.0,-37297000.0,-2232000.0,91516000.0
"Effect of Exchange Rate Changes",RY,1611000.0,-4152000.0,-2810000.0,1062000.0
"Beginning Cash Position",RY,72397000.0,113846000.0,118888000.0,26310000.0
"Income Tax Paid Supplemental Data",RY,4964000.0,7326000.0,4198000.0,2880000.0
"Interest Paid Supplemental Data",RY,54698000.0,13677000.0,7555000.0,13058000.0
"Capital Expenditure",RY,-2730000.0,-2500000.0,-2186000.0,-2629000.0
"Issuance of Capital Stock",RY,4239000.0,6274000.0,7098000.0,6593000.0
"Issuance of Debt",RY,1500000.0,1000000.0,2750000.0,2750000.0
"Repayment of Debt",RY,-825000.0,-821000.0,-3121000.0,-3588000.0
